modality,windows_total,windows_with_events,window_coverage,missing_window_ratio,event_count_mean,event_count_median,event_count_p90,event_count_max,gap_minutes_mean,gap_minutes_median,gap_minutes_p90,gap_minutes_p99,gap_cv_mean,gap_cv_median
oxygen_saturation,12123,7633,0.6296296296296297,0.37037037037037035,121.53724325661965,141.0,235.0,1317.0,1.443357486851558,1.0,1.0,7.0,1.3468243410301954,0.8973662853410324
sleep,12123,9692,0.7994720778685144,0.20052792213148563,16.0391817206962,17.0,28.0,125.0,54.913158792103964,16.0,59.0,1021.0,2.151206182271153,2.571062145899994
calorie,12123,10025,0.8269405262723748,0.1730594737276252,95.99777282850779,93.0,195.0,907.0,9.459293992837306,3.0,17.0,117.0,2.2037645894528555,2.0826765111325933
heart_rate,12123,10707,0.8831972284088097,0.11680277159119035,835.234595397179,1007.0,1129.0,2085.0,1.5065530237644833,1.0,2.0,16.0,0.8283993331610968,0.7687303264104826
stress,12123,10726,0.8847644972366576,0.11523550276334238,1260.0874371030272,1440.0,1440.0,1440.0,1.0033238752900857,1.0,1.0,1.0,0.07050430998223949,0.0
respiratory_rate,12123,10730,0.8850944485688361,0.11490555143116388,1259.334818114328,1439.0,1440.0,1440.0,1.004094208080578,1.0,1.0,1.0,0.08001502889989108,0.02634314304520481
physical_activity,12123,10801,0.8909510847150045,0.1090489152849955,354.9265033407572,397.0,498.0,908.0,3.590682373817354,2.0,8.0,29.0,1.4727437373224783,1.4167429010119252
glucose,12123,12123,1.0,0.0,288.0,288.0,288.0,288.0,4.999999985629297,5.0,5.0,5.0,4.6976421433999195e-05,0.0
