,count,mean,std,min,25%,50%,75%,max
43,408442.0,1.1771349273581067,1.649659687341453,0.126,0.258,0.378,1.861,13.114
44,408442.0,2.188332610260453,1.894105669522588,0.1,0.726,1.285,4.129,15.543
45,408442.0,2.0699283668183,1.7659266974111683,0.0,0.859,1.126,3.325,18.172
46,408442.0,0.9164733377076794,0.9202468330204122,0.068,0.294,0.544,1.252,11.134
47,408442.0,1.3785816419467147,1.2294798680872563,0.091,0.563,0.816,1.762,15.104
48,408442.0,1.2236424192418998,1.4658596827736203,0.036,0.322,0.461,1.381,14.238
49,408442.0,1.929313263572306,1.9896952682299645,-0.005,0.566,0.915,3.534,19.301
50,408442.0,0.8200251712605464,0.9969539729605136,0.054,0.292,0.364,0.712,9.647
51,408442.0,0.8264347398161794,1.0864592496630299,0.094,0.209,0.295,0.825,10.643
52,408442.0,1.234045127582374,1.380449636598552,0.089,0.239,0.541,2.693,10.539
53,408442.0,0.7082600001958662,0.8921668151319252,0.063,0.225,0.32,0.571,6.946
54,408442.0,1.5867938728142559,1.736235880299324,0.159,0.366,0.601,3.442,13.889
55,408442.0,1.7324598253852448,1.5273702991321036,0.003,0.63,0.981,2.493,10.823
56,408442.0,1.5682412925213378,1.6739297559849395,0.03,0.396,1.087,1.428,14.628
57,408442.0,1.2468025301021932,1.2748339561002902,0.074,0.273,0.631,2.075,11.863
58,408442.0,1.2787756597019895,1.628538342449843,0.016,0.292,0.389,2.013,13.181
59,408442.0,1.3115944932205794,1.5068134105809274,0.163,0.423,0.592,1.158,10.545
60,408442.0,2.6130663962080294,1.9338402804753827,0.425,1.175,1.969,3.034,15.298
61,408442.0,0.6848514158681038,0.8216180038246684,0.069,0.254,0.36,0.65,8.327
62,408442.0,1.4766698698958478,1.5572940807569111,0.079,0.44,0.632,2.225,11.2
63,408442.0,1.8890937660671527,1.1870456819996713,0.418,0.993,1.578,2.434,14.825
64,408442.0,1.8422185108289548,1.570930462494162,0.0,0.568,1.022,2.932,12.597
65,408442.0,1.6464051125986066,1.7483542105927772,0.215,0.493,0.862,1.741,13.079
66,408442.0,0.6283425871972033,0.8180235855089427,0.053,0.215,0.281,0.514,9.379
67,408442.0,1.6301486845133464,2.225962124254572,0.086,0.242,0.478,2.781,15.991
68,408442.0,1.292017483510511,1.4017366110479026,0.082,0.436,0.613,1.296,12.591
69,408442.0,0.5169327150488932,0.7327655245667101,0.059,0.17,0.247,0.402,8.928
70,408442.0,2.1500205830938057,2.1214468975749976,0.155,0.414,0.963,3.649,15.516
71,408442.0,0.7188541996170815,0.8092453879448056,0.004,0.258,0.358,0.768,10.939
72,408442.0,2.5623146615676156,2.123456374919357,0.067,0.74,1.993,4.106,18.634
73,408442.0,0.6547459565862471,0.5168460636173768,0.157,0.374,0.496,0.732,6.052
74,408442.0,1.9094392912580005,2.026028833114846,0.008,0.386,0.991,3.89,12.884
75,408442.0,1.378764887058628,1.4096606240807308,0.063,0.426,0.796,1.52975,11.215
76,408442.0,3.0305431395400078,2.3410067370009386,0.047,1.301,2.027,4.316,18.767
77,408442.0,0.9427984487393559,1.016102397232398,0.0,0.293,0.426,1.163,9.267
78,408442.0,1.1138606632030987,1.226631215252131,0.0,0.324,0.647,1.048,6.62
