,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1.0,0.20370315193925068,0.4428322749032922,0.37499831934647904,0.3400383334756867,0.23161095913828475,0.34706031683875416,0.09012334767156409,0.1461104513481641,0.38132976473681296,0.27633589742051595,0.5229675055749335,0.28229480175957444,0.3629133447439164,0.2803487929635813,0.3195110102179185,0.3416264743891767,0.2572526746855177,0.33992853831781455,0.2102486368087347
1,0.20370315193925068,1.0,0.1682953036702583,0.2184944857781842,0.18780878877781015,0.13069975361345107,0.2101616681710813,0.04457371986627212,0.1465663098209617,0.17720672396092277,0.20837805805032195,0.15401925176503772,0.048923107687863905,0.16229007599726128,0.16519935937825367,0.21824337835879468,0.1638042997460349,0.16756908632528728,0.16929913378769085,0.09700698002594597
2,0.4428322749032922,0.1682953036702583,1.0,0.3280322556840175,0.30947271305225243,0.19978985934778368,0.2932795898291564,0.07580428430862673,0.12219106020294669,0.3654895168059229,0.24081416616308263,0.5261709636206129,0.273481414955837,0.4016738905134214,0.240607977730217,0.2793294422695081,0.31671522064427915,0.2455234332173696,0.3132836718497404,0.20512633306194558
3,0.37499831934647904,0.2184944857781842,0.3280322556840175,1.0,0.31017691157452487,0.19533029861404622,0.33571889120035303,0.05376973700801232,0.15592713879290596,0.3144521267141778,0.28986280926876834,0.36159880326873234,0.1671769727370907,0.28402381436291363,0.26178243175970506,0.3044989018503252,0.30754803406632125,0.21455914012071953,0.261390827419928,0.15251498991840154
4,0.3400383334756867,0.18780878877781015,0.30947271305225243,0.31017691157452487,1.0,0.20514110360285076,0.3995252585868982,-0.012918587752725533,0.14004327801581196,0.33840632094295314,0.3469125745424881,0.3614304860677606,0.19611761388884433,0.27665472584504336,0.27380084965913215,0.3594805544463133,0.40995300760093883,0.18353411700732247,0.268194373092015,0.18222158143670836
5,0.23161095913828475,0.13069975361345107,0.19978985934778368,0.19533029861404622,0.20514110360285076,1.0,0.23531591022153264,0.07806317339092904,0.08203010919204619,0.2015272592670678,0.2192346154748134,0.23860681821384455,0.16626067684930226,0.19522313192137458,0.18885679908786512,0.24751002619606968,0.2812742469395243,0.11431860864529123,0.1732134142957598,0.12793912788305165
6,0.34706031683875416,0.2101616681710813,0.2932795898291564,0.33571889120035303,0.3995252585868982,0.23531591022153264,1.0,-0.009062214797160477,0.15129690383175554,0.3518649940711216,0.36796705123805046,0.35710587400076343,0.20035353558129174,0.2708093884120717,0.2946544563989918,0.37447598023124484,0.3839601875482169,0.18994302976778338,0.26754355812675995,0.18217580803606648
7,0.09012334767156409,0.04457371986627212,0.07580428430862673,0.05376973700801232,-0.012918587752725533,0.07806317339092904,-0.009062214797160477,1.0,0.04900332263347282,0.011324509040016577,-0.007917715358206678,0.07370387357257212,0.040423483811659784,0.07283521484052742,0.054344712752300704,-0.0062004857457044526,0.0034201150754053946,0.08322682084673676,0.053466916205655565,-0.024411015142717898
8,0.1461104513481641,0.1465663098209617,0.12219106020294669,0.15592713879290596,0.14004327801581196,0.08203010919204619,0.15129690383175554,0.04900332263347282,1.0,0.11797431984453872,0.13586154609267304,0.13635786626238477,0.07002306971929179,0.13252789542805396,0.13655609246662642,0.13216363450529658,0.11406057532468514,0.13240199570413197,0.12785572318444072,0.049629410447800365
9,0.38132976473681296,0.17720672396092277,0.3654895168059229,0.3144521267141778,0.33840632094295314,0.2015272592670678,0.3518649940711216,0.011324509040016577,0.11797431984453872,1.0,0.27192198127497996,0.4471845132912439,0.24785979545067027,0.3117472670636247,0.2507421140721109,0.33825891194007446,0.34337055271624634,0.20689574506141756,0.28756838724478584,0.19364294230568058
10,0.27633589742051595,0.20837805805032195,0.24081416616308263,0.28986280926876834,0.3469125745424881,0.2192346154748134,0.36796705123805046,-0.007917715358206678,0.13586154609267304,0.27192198127497996,1.0,0.2612866808102929,0.13299064285523501,0.21468869423103484,0.2519498456440678,0.3355054680122224,0.322959172365778,0.15464879121782218,0.23896313417708165,0.14289213785646981
11,0.5229675055749335,0.15401925176503772,0.5261709636206129,0.36159880326873234,0.3614304860677606,0.23860681821384455,0.35710587400076343,0.07370387357257212,0.13635786626238477,0.4471845132912439,0.2612866808102929,1.0,0.41334689882372055,0.43219685894112,0.2890060822414092,0.3308756289282216,0.37777730239387164,0.2908558237732444,0.3615955611769045,0.27778538878461834
12,0.28229480175957444,0.048923107687863905,0.273481414955837,0.1671769727370907,0.19611761388884433,0.16626067684930226,0.20035353558129174,0.040423483811659784,0.07002306971929179,0.24785979545067027,0.13299064285523501,0.41334689882372055,1.0,0.22786807615404897,0.13783214300143085,0.18002902551647001,0.24063609181201057,0.1570123089307713,0.1938191979474598,0.1987973096005139
13,0.3629133447439164,0.16229007599726128,0.4016738905134214,0.28402381436291363,0.27665472584504336,0.19522313192137458,0.2708093884120717,0.07283521484052742,0.13252789542805396,0.3117472670636247,0.21468869423103484,0.43219685894112,0.22786807615404897,1.0,0.20842692624793283,0.24595978818820885,0.28738709813445223,0.23502545037179937,0.27371711597057397,0.16354213662569178
